DATASET_HEATMAP
SEPARATOR COMMA
DATASET_LABEL,Metabolic Structural Variations
COLOR,#336699
FIELD_LABELS,2345-tetrahydropyridine-26-dicarboxylate N-acetyltransferase,Sensor histidine kinase RcsC,Cobalamin import system permease protein BtuC,Vitamin B12 import ATP-binding protein BtuD,Vitamin B12-binding protein,ATP synthase subunit c,Polyferredoxin protein MvhB,Beta-barrel assembly-enhancing protease,Vitamin B12 import ATP-binding protein BtuD
COLOR_MIN,#ffffff
COLOR_MAX,#2c3e50
LEGEND_TITLE,Gene Presence
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ffffff,#2c3e50
LEGEND_LABELS,Absent,Present
DATA
MGYG000002446,0,0,1,0,1,1,0,0,1
MGYG000010360,0,0,1,0,1,1,1,0,0
MGYG000011558,0,0,0,0,0,1,0,1,1
MGYG000012090,0,0,1,0,1,1,1,0,1
MGYG000013996,0,1,1,0,1,1,1,0,1
MGYG000014408,0,0,1,0,1,1,1,0,1
MGYG000015452,0,0,1,0,1,1,1,0,0
MGYG000015973,0,0,0,0,0,1,0,0,0
MGYG000016464,0,1,1,0,1,1,1,0,1
MGYG000016874,0,0,0,1,0,1,0,0,0
MGYG000020111,0,0,0,0,0,1,1,0,1
MGYG000020203,0,0,0,0,0,1,1,0,0
MGYG000020311,0,0,0,0,0,1,1,0,1
MGYG000021299,0,1,1,0,1,1,1,0,1
MGYG000021636,0,0,1,0,1,1,1,0,1
MGYG000026828,0,0,1,0,1,1,1,0,1
MGYG000028479,0,1,1,0,1,1,0,0,1
MGYG000028770,0,0,0,0,0,1,1,0,1
MGYG000029971,0,0,0,0,0,1,1,0,1
MGYG000030132,0,1,0,0,0,1,1,0,0
MGYG000033221,0,1,1,0,1,1,0,0,0
MGYG000035110,0,0,0,0,0,1,1,0,1
MGYG000036079,0,1,1,0,1,1,1,0,1
MGYG000036892,0,0,1,1,1,1,1,0,0
MGYG000039022,0,1,1,0,1,1,0,0,1
MGYG000041110,0,1,1,0,1,1,1,0,1
MGYG000043343,0,1,1,0,1,1,1,0,1
MGYG000043699,0,0,1,0,1,1,1,0,0
MGYG000044513,0,0,0,0,0,1,1,0,1
MGYG000044768,0,0,1,0,1,0,0,0,0
MGYG000046423,0,0,0,0,0,1,1,0,0
